{'id': 1, 'soHopDong': 'HCM.D07.BVC.25.HD13', 'tenCongTy': 'Công ty TNHH SANOFI', 'HLBH_den': '2025-12-31'}
{'id': 2, 'soHopDong': 'HD99', 'tenCongTy': 'HauNguyen', 'HLBH_den': '2025-12-31'}
{'id': 3, 'soHopDong': 'HD98', 'tenCongTy': 'Hau98', 'HLBH_den': '2025-12-31'}
{'id': 4, 'soHopDong': '97', 'tenCongTy': 'Hau97', 'HLBH_den': '2025-12-31'}
{'id': 5, 'soHopDong': 'HD96', 'tenCongTy': 'Hau96', 'HLBH_den': '2022-12-31'}
{'id': 6, 'soHopDong': 'HD95', 'tenCongTy': 'Hau95', 'HLBH_den': '2025-12-31'}
{'id': 7, 'soHopDong': 'HD94', 'tenCongTy': 'Hau94', 'HLBH_den': '2025-12-31'}
{'id': 8, 'soHopDong': 'HD11', 'tenCongTy': 'Lego', 'HLBH_den': '2025-12-31'}
{'id': 9, 'soHopDong': '123', 'tenCongTy': '123', 'HLBH_den': '2025-01-01'}
{'id': 10, 'soHopDong': 'APPLE', 'tenCongTy': 'HD2', 'HLBH_den': '2025-12-31'}
{'id': 11, 'soHopDong': 'HD15', 'tenCongTy': 'Android', 'HLBH_den': '2025-12-31'}
